time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.019991467438211e-08,2.1748672911805584e-07,10.002779909031805,6.282697034642641,6.2830378012045465,0.0,9.592534673072017e-06,-7.604717208996528e-06,0.09265989163980293,-0.03410803941693363,-0.007895089468094932,0.0,434.6036105162809,433.9415423561979,436.2829332152783,433.4263370796896
0.12000000000000001,5.681866222258473e-06,-1.9028362710980945e-05,10.012502339524598,6.280788191586533,6.28267675550415,0.0,0.00022183741179016068,-0.0008466203819570458,0.23140217770222776,-0.027581836049835988,-0.002504152987733865,0.0,448.35460129332904,448.79239777084763,449.2468984367941,449.77530068273313
0.18,2.995831975359188e-05,-0.00012459362778329322,10.029009969424164,6.278706992196968,6.282342658523984,0.0,0.0006107797276027065,-0.002852840187271433,0.3188306177760433,-0.05528954962999899,-0.012535339021491853,0.0,433.53768451718264,432.6942555872191,433.9757448951557,431.6434341912052
0.23999999999999996,9.267966254313022e-05,-0.0004326751370026696,10.05734837123518,6.275271195320114,6.281822505954608,0.0,0.0015629421957831207,-0.007863379018496493,0.6256630745405829,-0.06153397462043829,-0.0018824986258975797,0.0,497.38401993739274,498.16358304465007,499.20741525843766,498.7497532337376
0.3,0.00022049240308468957,-0.0011154481268515384,10.10175997213676,6.271253358626716,6.2815711041179405,0.0,0.0027187939768076245,-0.015357477891533734,0.854576158322815,-0.08096302066548917,-0.009258796532728347,0.0,476.66113699268215,476.09726148461556,477.3532512048818,475.86535596120063
0.36000000000000004,0.0004174173743267059,-0.0022887766834909433,10.155010334304666,6.266474412605701,6.28075450904662,0.0,0.003910001381327596,-0.024219802065439087,0.920378321602301,-0.0771443592588928,-0.02416289276993631,0.0,427.7409519846934,426.4700642208933,426.1113704816305,426.4322524451437
0.4200000000000001,0.0007055018698741383,-0.0040948533685183225,10.212683507655433,6.262221388601972,6.279934031859188,0.0,0.005799803639353165,-0.03642019783365146,1.0019839285762693,-0.06063879741631196,0.0017188797257204746,0.0,431.03960310768645,433.2210914379189,431.04102257378133,432.4293319880887
0.48000000000000015,0.0011300058487651464,-0.006795810578430764,10.278975013901633,6.258554159951764,6.280433900191884,0.0,0.008311287197987925,-0.05403718219481444,1.207528659302848,-0.0621012228835347,0.019052275225301066,0.0,469.5946244986098,470.93701134508507,470.3368066020994,470.2211011176632
0.5400000000000001,0.0016964377113277212,-0.010724894624010677,10.360884457144786,6.254712534366583,6.282231944252734,0.0,0.010364046011291336,-0.0774289875691919,1.5224080643469324,-0.06818540127039369,0.04582282327130146,0.0,501.562924754922,503.50336246583674,501.63160909094375,501.1871499976368
0.6000000000000002,0.0023299167239341843,-0.016134214875199414,10.460712487450605,6.2511337575095265,0.0014192413028100148,0.0,0.010415386267282108,-0.10335962485654816,1.8047754294684522,-0.04649505023821555,0.022426874753738155,0.0,494.44107768266093,492.71516178912896,492.9805143016368,494.5782167404987
0.6600000000000003,0.002922633054621545,-0.02296395460867793,10.570625079168684,6.248556651381552,0.0027782167530157054,0.0,0.00921314799860097,-0.12455048249703649,1.8588810826945952,-0.0366713525475397,0.023091294657674052,0.0,426.42540752576883,426.48221406024794,424.02505845548876,424.86695190149436
0.7200000000000003,0.0034163372686768874,-0.031116495120965693,10.683884563734159,6.245915785608302,0.004388713628417307,0.0,0.00709964857178812,-0.14742279985376064,1.9163303120750197,-0.0657319904548124,0.0334474852579321,0.0,426.0828625405883,426.967459082052,428.2281389263042,425.74765412815896
0.7800000000000004,0.003749013164845793,-0.04070546367849185,10.800760551342385,6.24204565648844,0.006554804703806205,0.0,0.003788055101521754,-0.1725827970255437,1.9794108627553912,-0.06215052410748016,0.040940548291098125,0.0,427.19033569778713,427.8293975841674,429.9986210397591,430.29868726623084
0.8400000000000004,0.003837173965480357,-0.05189122699764396,10.921707983671997,6.238299786274162,0.008806208277698957,0.0,-0.001080244167864311,-0.20063713714600118,2.0520224615448277,-0.0629981870114388,0.029623623916288276,0.0,433.175237293819,432.2232700972052,431.72259571049267,431.64813157219146
0.9000000000000005,0.0035540823597969354,-0.06501754455065702,11.051030648127071,6.23506784214036,0.01066102387889245,0.0,-0.008566709558771528,-0.23729734990039542,2.2583237037993706,-0.04001051655151773,0.03337576501557787,0.0,473.2918809478895,473.58081926768085,472.9580070428321,474.72320140438705
0.9600000000000005,0.002792410662487268,-0.08034396957004784,11.191262815520098,6.232945280934718,0.012966016853867224,0.0,-0.017058671816819606,-0.27381727191012706,2.415743011624124,-0.027428198295446068,0.046958496123140916,0.0,458.9502395249145,460.02764155953236,459.7887504857265,460.7839332116094
1.0200000000000005,0.0015150228061057984,-0.09772462504383803,11.337342212943959,6.231386227352424,0.01584657227196473,0.0,-0.025784515681303206,-0.30568363226196243,2.45347429332482,-0.02324266927605325,0.050031396328256685,0.0,422.7526633788602,423.01888477324826,422.53015879625787,422.89066264321474
1.0800000000000005,-0.0003994814582647433,-0.1172322338854815,11.489256153476862,6.229996990600126,0.018942597050057408,0.0,-0.03836357610237567,-0.34470706019804,2.6099598781402435,-0.022977106596369708,0.05456598987963136,0.0,459.88776174880667,460.2483966404992,460.95779691013456,460.97875629516824
1.1400000000000006,-0.00308983329792869,-0.13897765913656915,11.648043567458755,6.229091300859167,0.02191801181513675,0.0,-0.051620433863205986,-0.3802418132737787,2.682767784066536,-0.00274286364840199,0.03710082114510245,0.0,435.66614545314843,434.2049630132427,434.6610814228604,436.3535498066693
